timestamp,temp_abs_0,temp_rel_0,temp_abs_1,temp_rel_1
2026-05-27T15:14:24.710177,23.22, 0.01, 21.63, -0.03
2026-05-27T15:14:25.714737,23.22, 0.01, 21.63, -0.03
2026-05-27T15:14:26.716979,23.69, 0.01, 21.63, -0.03
2026-05-27T15:14:27.717656,23.69, 0.01, 21.63, -0.03
2026-05-27T15:14:28.721464,23.22, 0.01, 21.63, -0.03
2026-05-27T15:14:29.724632,23.22, 0.49, 21.63, -0.03
2026-05-27T15:14:30.725068,23.22, 0.49, 21.63, -0.03
2026-05-27T15:14:31.727554,23.22, 0.01, 21.63, -0.03
2026-05-27T15:14:32.732470,23.22, 0.49, 21.63, -0.03
2026-05-27T15:14:33.735643,23.22, 0.01, 21.63, -0.03
2026-05-27T15:14:34.736001,23.22, 0.01, 21.63, -0.03
2026-05-27T15:14:35.739517,23.22, 0.01, 21.63, -0.03
2026-05-27T15:14:36.742244,23.22, 0.01, 21.63, -0.03
2026-05-27T15:14:37.742012,23.22, 0.49, 21.63, -0.03
2026-05-27T15:14:38.745699,23.22, 0.01, 21.63, -0.03
2026-05-27T15:14:39.749500,24.16, 0.01, 24.95, 2.42
2026-05-27T15:14:40.753524,24.16, -0.48, 27.32, 4.86
2026-05-27T15:14:41.753684,23.69, 0.01, 29.69, 6.81
2026-05-27T15:14:42.757077,23.69, 0.01, 31.11, 8.77
2026-05-27T15:14:43.760186,24.16, -0.48, 33.01, 9.75
2026-05-27T15:14:44.764531,24.16, -0.48, 33.95, 11.21
2026-05-27T15:14:45.763555,23.69, 0.01, 35.38, 12.19
2026-05-27T15:14:46.767011,24.16, -0.48, 36.32, 13.17
2026-05-27T15:14:47.772100,24.16, 0.01, 37.27, 14.15
2026-05-27T15:14:48.774723,23.69, 0.49, 38.22, 15.12
2026-05-27T15:14:49.775332,24.16, 0.01, 38.69, 16.10
2026-05-27T15:14:50.779034,23.69, 0.49, 39.64, 16.59
2026-05-27T15:14:51.781752,23.69, 0.01, 40.12, 17.08
2026-05-27T15:14:52.785313,23.69, -0.48, 40.59, 17.57
2026-05-27T15:14:53.785099,24.16, -0.48, 41.54, 18.06
2026-05-27T15:14:54.789689,23.69, -0.48, 41.54, 18.55
2026-05-27T15:14:55.792759,24.16, -0.48, 42.48, 19.03
2026-05-27T15:14:56.793061,23.69, 0.01, 42.48, 19.52
2026-05-27T15:14:57.796486,23.69, -0.48, 42.96, 20.01
2026-05-27T15:14:58.799792,23.69, -0.48, 43.43, 20.50
2026-05-27T15:14:59.802994,24.16, 0.01, 43.91, 20.50
2026-05-27T15:15:00.808190,24.16, -0.48, 44.38, 20.99
2026-05-27T15:15:01.807145,23.69, 0.01, 44.38, 21.48
2026-05-27T15:15:02.811101,23.69, 0.01, 44.85, 21.48
2026-05-27T15:15:03.814933,23.69, -0.48, 45.33, 21.97
2026-05-27T15:15:04.814153,23.69, 0.01, 45.33, 21.97
2026-05-27T15:15:05.818535,23.69, 0.01, 45.80, 22.46
2026-05-27T15:15:06.821299,24.16, 0.01, 45.80, 22.94
2026-05-27T15:15:07.825344,23.69, 0.01, 46.28, 22.94
2026-05-27T15:15:08.829645,23.69, -0.48, 46.28, 22.94
2026-05-27T15:15:09.829080,23.69, -0.48, 46.75, 23.43
2026-05-27T15:15:10.832484,23.69, -0.48, 46.75, 23.92
