timestamp,temp_abs_0,temp_rel_0,temp_abs_1,temp_rel_1
2026-05-27T16:48:21.889604,28.43, -0.16, 22.58, 0.13
2026-05-27T16:48:22.894113,27.95, -0.65, 22.58, 0.13
2026-05-27T16:48:23.899050,27.95, -0.65, 22.58, 0.13
2026-05-27T16:48:24.901637,27.95, -0.65, 22.58, 0.13
2026-05-27T16:48:25.900748,27.48, -0.65, 22.58, 0.13
2026-05-27T16:48:26.904291,27.95, -1.14, 23.53, 0.62
2026-05-27T16:48:27.908182,27.95, -1.14, 24.00, 0.62
2026-05-27T16:48:28.907044,27.95, -1.14, 24.95, 1.11
2026-05-27T16:48:29.911621,27.95, -1.14, 25.42, 1.60
2026-05-27T16:48:30.915865,27.95, -1.63, 25.90, 2.09
2026-05-27T16:48:31.918974,27.48, -1.63, 26.37, 3.55
2026-05-27T16:48:32.918096,27.48, -1.63, 26.85, 3.55
2026-05-27T16:48:33.922437,27.48, -1.63, 27.32, 4.04
2026-05-27T16:48:34.925516,27.48, -1.63, 27.32, 4.53
2026-05-27T16:48:35.929499,27.48, -1.63, 27.79, 4.53
2026-05-27T16:48:36.928904,27.48, -1.63, 28.27, 5.02
2026-05-27T16:48:37.932780,27.48, -1.63, 28.27, 5.02
2026-05-27T16:48:38.937298,27.01, -2.12, 28.74, 4.53
2026-05-27T16:48:39.936177,27.48, -2.12, 28.74, 5.51
2026-05-27T16:48:40.940642,27.01, -2.12, 28.74, 5.51
2026-05-27T16:48:41.943908,27.01, -2.12, 28.74, 5.51
2026-05-27T16:48:42.947324,27.01, -2.12, 28.74, 5.51
2026-05-27T16:48:43.947089,27.01, -2.12, 29.22, 6.00
2026-05-27T16:48:44.951018,27.01, -2.12, 29.22, 6.00
2026-05-27T16:48:45.954531,27.01, -2.12, 29.22, 6.00
2026-05-27T16:48:46.957892,26.53, -2.12, 29.22, 6.00
2026-05-27T16:48:47.958154,27.01, -2.12, 29.22, 6.00
2026-05-27T16:48:48.961386,26.53, -2.12, 29.69, 6.49
2026-05-27T16:48:49.966076,26.53, -2.61, 29.69, 6.49
2026-05-27T16:48:50.964908,26.53, -2.61, 29.69, 6.49
2026-05-27T16:48:51.968139,26.53, -2.61, 29.69, 6.49
2026-05-27T16:48:52.972580,26.53, -2.61, 29.69, 6.49
2026-05-27T16:48:53.976863,26.53, -2.61, 29.69, 6.00
2026-05-27T16:48:54.976255,26.53, -2.61, 30.16, 6.97
2026-05-27T16:48:55.980132,26.53, -2.61, 30.16, 6.97
2026-05-27T16:48:56.983860,26.53, -2.61, 30.16, 6.97
2026-05-27T16:48:57.986318,26.53, -2.61, 30.16, 6.97
