timestamp,tempP_0,tempS_0,tempP_1,tempS_1,temp_chmbr
2026-05-21T21:30:23.944728,12.79, -0.64, 14.05, -1.61,0
2026-05-21T21:30:24.945499,12.79, -0.64, 13.58, -1.12,0
2026-05-21T21:30:25.946602,12.79, -0.64, 13.10, -0.64,0
2026-05-21T21:30:26.947242,12.79, -1.13, 13.10, -0.64,0
2026-05-21T21:30:27.947895,12.79, -0.64, 14.05, -1.61,0
2026-05-21T21:30:30.950160,11.84, 0.49, 12.63, 0.41,0
2026-05-21T21:30:31.950849,11.84, 0.49, 12.63, 0.41,0
2026-05-21T21:30:32.951511,12.32, 0.49, 12.63, 0.41,0
2026-05-21T21:30:33.952114,12.79, 0.49, 13.10, -0.08,0
2026-05-21T21:30:34.953176,12.79, 0.00, 12.63, -0.08,0
2026-05-21T21:30:35.954239,11.84, 0.49, 12.15, 0.41,0
2026-05-21T21:30:36.954919,12.32, -0.49, 12.63, -0.08,0
2026-05-21T21:30:37.955815,11.84, 0.00, 13.10, 0.41,0
2026-05-21T21:30:38.956488,11.37, 0.00, 12.63, -0.57,0
2026-05-21T21:30:39.957066,11.84, 0.00, 12.15, 0.41,0
2026-05-21T21:30:40.957681,12.32, -0.49, 12.63, -0.08,0
2026-05-21T21:30:41.958268,12.32, 0.00, 12.63, -0.08,0
2026-05-21T21:30:42.958864,11.84, -0.49, 12.15, -0.08,0
2026-05-21T21:30:43.959876,11.84, 0.00, 12.15, -0.57,0
2026-05-21T21:30:44.960465,11.84, 0.00, 12.15, 0.41,0
2026-05-21T21:30:45.961493,11.84, 0.00, 12.63, -0.08,0
2026-05-21T21:30:46.962519,12.32, 0.00, 12.63, -0.08,0
2026-05-21T21:30:47.963128,11.84, 0.00, 12.15, -0.08,0
2026-05-21T21:30:48.963756,11.84, 0.00, 12.63, -0.08,0
2026-05-21T21:30:49.964353,11.37, 0.00, 12.15, 0.41,0
2026-05-21T21:30:50.965038,11.84, 0.00, 12.15, -0.08,0
2026-05-21T21:30:51.965735,11.84, 0.00, 12.15, -0.08,0
2026-05-21T21:30:52.966386,11.84, 0.00, 12.15, -0.08,0
2026-05-21T21:30:53.967065,11.37, 0.00, 12.15, 0.41,0
2026-05-21T21:30:54.968144,11.84, -0.98, 12.15, -0.08,0
2026-05-21T21:30:55.968832,11.37, 0.00, 12.15, -0.08,0
2026-05-21T21:30:56.969888,11.37, 0.00, 12.15, 0.41,0
2026-05-21T21:30:57.970560,11.37, 0.00, 12.63, 0.41,0
