timestamp,temp_abs_0,temp_rel_0,temp_abs_1,temp_rel_1
2026-05-27T15:04:02.982766,22.27, -0.47, 22.58, -0.79
2026-05-27T15:04:03.484934,22.27, -0.47, 22.58, -0.79
2026-05-27T15:04:03.985923,22.27, -0.47, 22.58, -0.79
2026-05-27T15:04:04.487766,22.27, -0.47, 22.58, -1.28
2026-05-27T15:04:09.514692,21.79, 0.10, 22.11, 0.01
2026-05-27T15:04:10.489481,21.79, 0.10, 22.11, 0.01
2026-05-27T15:04:11.492181,21.79, 0.10, 22.11, 0.01
2026-05-27T15:04:12.492261,21.79, 0.10, 21.63, 0.01
2026-05-27T15:04:13.496206,21.79, 0.10, 22.11, 0.01
2026-05-27T15:04:14.498987,21.79, 0.10, 22.11, 0.01
2026-05-27T15:04:15.502318,21.79, 0.10, 22.11, 0.01
2026-05-27T15:04:16.502210,21.79, 0.10, 22.11, 0.01
2026-05-27T15:04:17.506985,21.79, 0.10, 22.11, 0.01
2026-05-27T15:04:18.510099,21.79, 0.10, 22.11, 0.01
2026-05-27T15:04:19.510124,25.11, 2.05, 22.58, 0.01
2026-05-27T15:04:20.513731,28.43, 5.48, 22.58, 0.01
2026-05-27T15:04:21.517716,30.80, 7.92, 22.58, 0.01
2026-05-27T15:04:22.521020,33.64, 9.87, 22.58, 0.01
2026-05-27T15:04:23.524981,35.54, 12.32, 22.58, -0.48
2026-05-27T15:04:24.523981,37.91, 14.27, 22.58, 0.01
2026-05-27T15:04:25.528539,39.80, 16.23, 22.58, 0.01
2026-05-27T15:04:26.531740,41.70, 18.18, 22.58, 0.01
2026-05-27T15:04:27.534942,42.65, 19.16, 22.58, 0.01
2026-05-27T15:04:28.534672,44.07, 20.14, 22.58, 0.01
2026-05-27T15:04:29.538357,45.49, 22.09, 22.58, -0.48
2026-05-27T15:04:30.543013,46.91, 22.58, 22.58, -0.48
2026-05-27T15:04:31.546276,47.86, 24.54, 22.58, 0.01
2026-05-27T15:04:32.546263,48.81, 25.03, 22.58, 0.01
2026-05-27T15:04:33.550069,50.23, 25.51, 22.58, -0.48
2026-05-27T15:04:34.553362,50.70, 26.98, 22.58, 0.01
2026-05-27T15:04:35.557278,51.65, 27.47, 22.58, 0.01
2026-05-27T15:04:36.557627,52.60, 28.45, 22.58, 0.01
2026-05-27T15:04:37.560645,53.55, 28.94, 22.58, 0.01
2026-05-27T15:04:38.564463,54.02, 29.42, 22.58, 0.01
2026-05-27T15:04:39.564140,54.49, 30.89, 22.58, 0.01
2026-05-27T15:04:40.568119,54.97, 31.38, 22.58, 0.01
2026-05-27T15:04:41.571477,55.92, 31.38, 22.58, 0.01
2026-05-27T15:04:42.575304,56.39, 32.36, 22.58, 0.01
2026-05-27T15:04:43.575342,56.86, 32.85, 22.58, 0.01
2026-05-27T15:04:44.578439,57.34, 33.33, 22.58, 0.01
2026-05-27T15:04:45.582085,57.81, 33.82, 22.58, 0.01
2026-05-27T15:04:46.585960,58.28, 34.31, 22.58, 0.01
2026-05-27T15:04:47.585514,58.28, 34.80, 22.58, 0.01
2026-05-27T15:04:48.589273,58.76, 34.31, 22.58, -0.48
2026-05-27T15:04:49.592982,59.23, 35.29, 22.58, 0.01
2026-05-27T15:04:50.596017,59.71, 35.29, 22.58, 0.01
2026-05-27T15:04:51.599659,60.18, 35.78, 22.58, -0.48
2026-05-27T15:04:52.600010,60.18, 36.27, 22.58, 0.01
2026-05-27T15:04:53.602992,60.65, 35.78, 22.58, 0.01
2026-05-27T15:04:54.607712,60.65, 36.76, 22.58, -0.48
2026-05-27T15:04:55.610543,61.13, 36.76, 22.58, -0.48
2026-05-27T15:04:56.610368,61.60, 36.76, 22.58, -0.48
2026-05-27T15:04:57.614514,61.60, 37.24, 22.58, -0.48
2026-05-27T15:04:58.618307,61.60, 37.24, 22.58, -0.48
2026-05-27T15:04:59.621841,62.08, 37.24, 22.58, -0.48
2026-05-27T15:05:00.621581,62.55, 37.73, 22.58, -0.48
2026-05-27T15:05:01.624720,62.55, 38.22, 22.58, -0.48
2026-05-27T15:05:02.628902,62.55, 37.73, 22.58, 0.01
2026-05-27T15:05:03.632733,62.55, 38.22, 22.58, -0.48
2026-05-27T15:05:04.632688,63.02, 38.22, 22.58, -0.48
2026-05-27T15:05:05.636309,63.02, 38.22, 22.58, -0.48
2026-05-27T15:05:06.639252,63.50, 38.71, 22.58, -0.48
2026-05-27T15:05:07.643472,63.50, 38.71, 22.58, -0.48
2026-05-27T15:05:08.642983,63.97, 39.20, 22.58, -0.48
2026-05-27T15:05:09.646754,63.97, 38.71, 22.58, -0.48
2026-05-27T15:05:10.650861,63.97, 39.20, 22.58, -0.48
2026-05-27T15:05:11.653748,64.45, 39.20, 22.58, -0.48
2026-05-27T15:05:12.653665,64.45, 39.20, 22.58, -0.48
2026-05-27T15:05:13.657242,64.45, 39.69, 22.58, -0.48
2026-05-27T15:05:14.661046,64.45, 39.69, 22.58, -0.48
2026-05-27T15:05:15.664821,64.45, 40.18, 22.58, -0.48
2026-05-27T15:05:16.664473,64.45, 40.18, 22.58, -0.48
2026-05-27T15:05:17.668670,64.92, 39.69, 22.58, -0.48
2026-05-27T15:05:18.671697,64.92, 40.18, 22.58, -0.48
2026-05-27T15:05:19.675085,64.92, 39.69, 22.58, -0.48
2026-05-27T15:05:20.675462,65.39, 40.67, 22.58, -0.48
2026-05-27T15:05:21.678905,65.39, 40.67, 22.58, -0.48
2026-05-27T15:05:22.683295,65.39, 40.18, 22.58, -0.48
2026-05-27T15:05:23.681908,65.39, 40.18, 22.58, -0.48
2026-05-27T15:05:24.686065,65.39, 40.67, 22.58, -0.48
2026-05-27T15:05:25.689617,65.87, 41.15, 22.58, -0.48
2026-05-27T15:05:26.693624,65.87, 40.67, 22.58, -0.48
2026-05-27T15:05:27.693896,65.87, 40.67, 22.58, -0.48
2026-05-27T15:05:28.697520,65.87, 41.15, 22.58, -0.48
2026-05-27T15:05:29.700436,65.87, 41.15, 22.58, -0.48
2026-05-27T15:05:30.704572,66.34, 40.67, 22.58, -0.48
2026-05-27T15:05:31.704142,66.34, 41.64, 22.58, -0.48
2026-05-27T15:05:32.708019,66.34, 41.15, 22.58, -0.48
2026-05-27T15:05:33.711334,66.34, 41.64, 22.58, -0.48
2026-05-27T15:05:34.714914,66.82, 41.64, 22.58, -0.48
2026-05-27T15:05:35.714872,66.82, 41.64, 22.58, -0.48
2026-05-27T15:05:36.719220,66.82, 41.64, 22.58, -0.48
2026-05-27T15:05:37.722559,66.82, 41.64, 22.58, -0.48
2026-05-27T15:05:38.725706,66.82, 41.64, 22.58, -0.48
2026-05-27T15:05:39.725395,66.82, 41.15, 22.58, -0.48
2026-05-27T15:05:40.729527,67.29, 42.13, 22.58, -0.48
2026-05-27T15:05:41.733348,67.29, 42.13, 22.58, -0.48
2026-05-27T15:05:42.736656,67.29, 42.13, 22.58, -0.48
2026-05-27T15:05:43.736493,67.29, 42.13, 22.58, -0.48
2026-05-27T15:05:44.739382,67.29, 42.13, 22.58, -0.48
2026-05-27T15:05:45.744004,67.29, 41.64, 22.58, -0.48
2026-05-27T15:05:46.748002,67.29, 42.62, 22.58, -0.48
2026-05-27T15:05:47.747179,67.29, 42.13, 22.58, -0.48
2026-05-27T15:05:48.750729,67.29, 42.62, 22.58, -0.48
2026-05-27T15:05:49.755302,67.76, 42.62, 22.58, -0.48
2026-05-27T15:05:50.758151,67.76, 42.13, 22.58, -0.48
2026-05-27T15:05:51.758100,67.76, 42.13, 22.58, -0.48
2026-05-27T15:05:52.761975,67.76, 42.62, 23.05, -0.48
2026-05-27T15:05:53.765496,67.76, 42.62, 22.58, -0.48
2026-05-27T15:05:54.769501,67.76, 42.62, 22.58, -0.48
2026-05-27T15:05:55.768494,67.76, 43.11, 22.58, -0.48
2026-05-27T15:05:56.772746,68.24, 42.62, 22.58, -0.48
2026-05-27T15:05:57.776002,67.76, 42.62, 22.58, -0.48
2026-05-27T15:05:58.779561,68.24, 43.11, 23.05, -0.48
2026-05-27T15:05:59.780179,68.24, 43.11, 22.58, -0.48
2026-05-27T15:06:00.784110,68.24, 43.11, 22.58, -0.48
2026-05-27T15:06:01.786802,68.24, 42.62, 22.58, -0.48
2026-05-27T15:06:02.791141,68.24, 43.11, 23.05, -0.48
2026-05-27T15:06:03.790689,68.24, 42.62, 23.05, -0.48
2026-05-27T15:06:04.793864,68.24, 43.11, 22.58, -0.48
2026-05-27T15:06:05.798898,68.24, 43.60, 22.58, -0.48
2026-05-27T15:06:06.801956,68.24, 42.62, 23.05, -0.48
2026-05-27T15:06:07.801063,68.71, 43.11, 22.58, -0.48
2026-05-27T15:06:08.805316,68.71, 43.60, 22.58, -0.48
2026-05-27T15:06:09.809291,68.71, 43.11, 22.58, -0.48
2026-05-27T15:06:10.812910,68.71, 43.11, 22.58, -0.48
2026-05-27T15:06:11.812053,68.71, 43.60, 22.58, -0.48
2026-05-27T15:06:12.815918,68.71, 43.60, 22.58, -0.48
2026-05-27T15:06:13.819798,68.71, 43.60, 22.58, 0.01
2026-05-27T15:06:14.823358,68.71, 43.60, 22.58, -0.48
2026-05-27T15:06:15.822758,68.71, 43.11, 22.58, -0.48
2026-05-27T15:06:16.827361,69.18, 44.09, 22.58, -0.48
2026-05-27T15:06:17.830469,68.71, 43.11, 23.05, -0.48
2026-05-27T15:06:18.834279,68.71, 43.11, 22.58, -0.48
2026-05-27T15:06:19.834432,69.18, 43.60, 22.58, -0.48
2026-05-27T15:06:20.837749,69.18, 44.09, 22.58, -0.48
2026-05-27T15:06:21.841555,69.18, 44.09, 22.58, -0.48
2026-05-27T15:06:22.841048,69.18, 44.09, 22.58, -0.48
2026-05-27T15:06:23.844588,69.18, 44.09, 22.58, -0.48
2026-05-27T15:06:24.848245,69.18, 44.09, 22.58, -0.48
2026-05-27T15:06:25.851522,69.18, 44.09, 22.58, -0.48
2026-05-27T15:06:26.852114,69.18, 43.60, 22.58, -0.48
2026-05-27T15:06:27.855623,69.18, 44.09, 22.58, -0.48
2026-05-27T15:06:28.859293,69.18, 44.09, 22.58, -0.48
2026-05-27T15:06:29.863027,69.18, 44.58, 22.58, -0.48
2026-05-27T15:06:30.863323,69.66, 43.60, 22.58, -0.48
2026-05-27T15:06:31.867055,69.66, 44.09, 22.58, -0.48
